rh,fatalities
14.181818181818182,6.0
15.38,48.0
16.70909090909091,98.0
16.827272727272728,4.0
16.87272727272727,2.0
16.94,46.0
17.054545454545455,3.0
17.146,4.0
17.254545454545454,4.0
17.26111111111111,8.0
17.318181818181817,12.0
17.34,2.0
17.427272727272726,0.0
17.439999999999998,3.0
17.60909090909091,1.0
17.66,33.0
17.72,3.0
17.745454545454546,1.0
17.818181818181817,4.0
17.881818181818183,21.0
17.89090909090909,3.0
17.927272727272726,5.0
17.94,55.0
17.990909090909092,3.0
18.009090909090908,44.0
18.07,31.0
18.101,20.0
18.236363636363635,6.0
18.272727272727277,3.0
18.31111111111111,14.0
18.343636363636364,12.0
18.41111111111111,5.0
18.44,10.0
18.51,25.0
18.53333333333333,10.0
18.55090909090909,4.0
18.563636363636363,3.0
18.58,0.0
18.601,18.0
18.60833333333333,15.0
18.64166666666667,19.0
18.641818181818184,13.0
18.645454545454545,8.0
18.66363636363636,4.0
18.663636363636364,11.0
18.69909090909091,2.0
18.728181818181817,10.0
18.76,12.0
18.83636363636364,12.0
18.843636363636364,12.0
18.89,2.0
18.90909090909091,31.0
18.918181818181814,9.0
18.954545454545453,3.0
18.982727272727274,0.0
19.027272727272727,20.0
19.05454545454545,126.0
19.118181818181817,2.0
19.163636363636364,2.0
19.177777777777777,3.0
19.21818181818182,3.0
19.227272727272727,96.0
19.243,15.0
19.24636363636364,48.0
19.284166666666668,3.0
19.290909090909093,4.0
19.32,3.0
19.37,2.0
19.381818181818183,2.0
19.40909090909091,2.0
19.45,2.0
19.48,12.0
19.55454545454545,4.0
19.572727272727278,5.0
19.60909090909091,8.0
19.61636363636364,24.0
19.618181818181817,3.0
19.62727272727273,4.0
19.642727272727274,3.0
19.64454545454545,21.0
19.71,14.0
19.72,14.0
19.725,2.0
19.75454545454545,61.0
19.763636363636365,15.0
19.77,2.0
19.827272727272728,15.0
19.845454545454544,4.0
19.854545454545452,2.0
19.85636363636364,4.0
19.863636363636363,8.0
19.89090909090909,103.0
19.895454545454548,3.0
19.918181818181814,1.0
19.92,10.0
19.921818181818185,9.0
19.954545454545453,17.0
20.01727272727273,143.0
20.04,1.0
20.045454545454547,0.0
20.063636363636363,1.0
20.084545454545456,27.0
20.098181818181818,38.0
20.116666666666667,1.0
20.117272727272727,3.0
20.13636363636364,3.0
20.14,2.0
20.151818181818182,53.0
20.154,1.0
20.181818181818183,0.0
20.19090909090909,3.0
20.196363636363635,1.0
20.2,7.0
20.21666666666667,27.0
20.22636363636364,36.0
20.23636363636364,14.0
20.250833333333333,73.0
20.258181818181814,76.0
20.26363636363636,126.0
20.272727272727277,18.0
20.29090909090909,22.0
20.307,30.0
20.31,2.0
20.331818181818186,4.0
20.33333333333333,5.0
20.35,8.0
20.354545454545452,0.0
20.356666666666666,4.0
20.362727272727277,92.0
20.38,0.0
20.38888888888889,30.0
20.4,2.0
20.418181818181814,0.0
20.44,3.0
20.48333333333333,13.0
20.510909090909088,15.0
20.51909090909091,17.0
20.536363636363635,3.0
20.57272727272727,32.0
20.575,91.0
20.59,0.0
20.608,62.0
20.62727272727273,197.0
20.645454545454548,18.0
20.65,2.0
20.65833333333333,0.0
20.69363636363636,13.0
